,Title,Published_date,Views,Likes,Favourites,Comments,Month
181,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,126424,4325,0,193,May
182,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3099,147,0,115,May
183,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4501,153,0,74,May
184,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1392638,49024,0,1998,May
185,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5516,196,0,42,May
186,What You Need to Know for a Data Science Internship,2020-05-01,21600,1185,0,59,May
187,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8332,349,0,54,Apr
188,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14976,459,0,103,Apr
189,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3105,85,0,24,Apr
190,5 Tips for Crushing the Work From Home Life,2020-04-20,5406,202,0,38,Apr
191,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,20896,726,0,127,Apr
192,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,28682,720,0,98,Apr
193,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,43082,888,0,151,Apr
194,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,71006,1864,0,212,Apr
195,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,78887,1737,0,277,Apr
196,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,124699,3430,0,618,Apr
197,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,191678,4913,0,171,Apr
198,When Data Science Goes Wrong,2020-03-30,1801,105,0,32,Mar
199,How to ULTRALEARN Data Science,2020-03-27,61713,3821,0,169,Mar
200,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4390,267,0,50,Mar
201,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12790,461,0,45,Mar
202,The Secret Data Scientists Don't Want You to Know,2020-03-16,10703,1140,0,105,Mar
203,The 5 Stages of Learning Data Science,2020-03-13,17427,1297,0,78,Mar
204,Can You Learn Data Science Without a Computer?,2020-03-11,1655,111,0,14,Mar
205,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,344590,21162,0,622,Mar
206,The Data Science Projects that Got Me a Job,2020-03-06,40659,1394,0,41,Mar
207,How to Integrate Data Science into Your Business,2020-03-02,3371,128,0,18,Mar
208,The Problem with Data Science,2020-02-28,3780,154,0,19,Feb
209,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1160,46,0,16,Feb
210,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,124616,2404,0,97,Feb
211,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,323423,17676,0,525,Feb
212,Data Science Advice for College Students,2020-02-14,68806,1963,0,197,Feb
213,Avoid These Data Science Resume Mistakes!,2020-02-10,28191,1241,0,62,Feb
214,Data Science Explained with ... Cooking?,2020-02-07,5232,314,0,48,Feb
215,The 4 Types of Sports Analytics Projects,2020-02-03,30354,999,0,62,Feb
216,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,580,18,0,13,Jan
217,How I Learned Data Science,2020-01-27,93968,2693,0,210,Jan
218,What is Sports Analytics Really?,2020-01-20,20942,609,0,73,Jan
219,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,110549,3124,0,584,Jan
220,How To Learn Programming for Data Science [3 Steps],2020-01-13,30036,1979,0,96,Jan
221,Data Science Fundamentals: SQL Queries,2020-01-10,6364,212,0,35,Jan
222,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3128,151,0,14,Jan
223,The 9 Books That Changed My Perspective in 2019,2020-01-03,3380,179,0,25,Jan
